Number,Name,a,e,i,H,H_std,D,D_std,P,P_std,P (LCDB),l1,b1,l2,b2,l3,b3,l4,b4,Mag(min),Mag(max),u,u_sigma,g,g_sigma,r,r_sigma,i,i_sigma,z,z_sigma,dadt (papers),dadt_std (papers),snr_papers,dadt (JPL),dadt_sigma (JPL),snr_jpl
101955,Bennu,1.126391026,0.203745108,6.034939534,20.19,0.06,0.492,0.02,4.297,nan,nan,45.0,-88.0,nan,nan,nan,nan,nan,nan,0.1,0.35,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.001898,1e-05,189.8,nan,nan,nan
99942,Apophis,0.922438302,0.191195305,3.33136952,19.7,0.4,0.34,0.04,30.56,nan,nan,250.0,-75.0,nan,nan,nan,nan,nan,nan,0.3,1.14,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.00245,0.001358,1.8,-0.001331,9e-06,149.39
480883,2001YE4,0.676875623,0.540421435,4.837990331,20.7,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.005095000000000001,4.5e-05,113.22,-0.005066,6.7e-05,75.07
NaN,1998SD9,0.702464253,0.504462079,2.987213244,24.09,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.019522,0.000178,109.39
524522,2002VE68,0.723687471,0.410078162,9.034394211,20.5,nan,nan,nan,13.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.9,1.22,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.00349,0.00018,19.39,-0.003492,6.8e-05,51.68
NaN,2002BF25,1.074548063,0.221590169,6.313321387,22.62,nan,0.152,0.003,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.007165,0.000147,48.78
NaN,2000EB14,0.895612448,0.49554995,11.573791537,23.43,nan,nan,nan,1.79,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.016121,0.000486,33.2
152563,1992BF,0.907973879,0.27180007,7.25507962,19.8,nan,0.272,0.077,32.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.001196,5.6000000000000006e-05,21.36,-0.001245,4.5e-05,27.51
2340,Hathor,0.843829246,0.449884166,5.854591233,20.2,nan,0.3,nan,3.35,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.1,0.11,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.001734,6.9e-05,25.13,-0.001778,7.4e-05,24.06
483656,2005ES70,0.762954629,0.386434632,20.83312388,23.8,nan,nan,nan,1.69,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.008011,0.000319,25.11,-0.007989,0.000342,23.36
NaN,2002JR100,0.923718422,0.29887899,3.708744879,24.3,nan,0.027999999999999997,0.002,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.013875,0.000641,21.63
441987,2010NY65,1.001140323,0.3702258,11.59124075,21.4,nan,0.228,0.012,4.971,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.16,0.32,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.001865,0.00045700000000000005,4.08,-0.001979,0.000107,18.55
,2006CT,1.096886279,0.230722687,2.741533102,22.2,nan,nan,nan,16.69,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.004814,0.0007740000000000001,6.22,-0.003844,0.00021,18.34
,2012BB124,1.154887448,0.211025947,15.7893469,21.2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.002942,0.000167,17.62,0.00283,0.0003,9.45
,2000PN8,1.252208036,0.217079886,22.38684491,22.1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.004928,0.0008869999999999999,5.56,0.005278,0.000307,17.22
NaN,2001CQ36,0.938225197,0.176928029,1.258209786,22.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.006858,0.000402,17.07
,2011EP51,0.828723202,0.307739159,3.426070466,25.2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.018509,0.002639,7.01,-0.016819,0.000989,17.01
,2003YL118,1.130047953,0.486207215,7.61215187,21.6,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.009031,0.001539,5.87,-0.009151,0.000566,16.17
364136,2006CJ,0.676533865,0.754882522,10.23224315,20.2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.0034990000000000004,0.000542,6.46,-0.003713,0.000231,16.05
NaN,2002XQ40,1.075027066,0.351155458,2.189671411,22.39,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.004509,0.000285,15.81
NaN,2003AF23,0.87448581,0.425893346,23.231393918,21.02,nan,nan,nan,19.89,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.78,0.97,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.003038,0.000198,15.31
NaN,2009WB105,0.82549399,0.252519479,38.402435529,23.48,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.006999,0.00046,15.22
185851,2000DP107,1.365328151,0.376645661,8.671243898,18.2,nan,0.863,0.043,2.775,nan,nan,291.0,80.0,31.0,-61.0,nan,nan,nan,nan,0.11,0.19,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-8.2e-05,0.00028,0.29,0.000407,2.7e-05,15.17
,1995CR,0.906941013,0.868434841,4.067017755,21.7,nan,nan,nan,2.66,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.015588999999999999,0.004071,3.83,-0.008702,0.0006,14.5
NaN,2018CW2,0.762147216,0.421061513,4.952828202,25.66,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.032521,0.002278,14.28
85990,1999JV6,1.008213935,0.311095599,5.359217734,20.2,nan,0.451,0.026,6.538,nan,nan,144.0,-84.0,nan,nan,nan,nan,nan,nan,0.83,0.93,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.001434,0.000103,13.92,-0.001666,0.000124,13.44
NaN,2009BD,1.009762523,0.041631181,0.384479452,28.1,nan,nan,nan,4.0,1.2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.038169,0.00993,3.84,-0.047394,0.003459,13.7
138175,2000EE104,1.004212011,0.29314637,5.238250455,20.4,nan,nan,nan,nan,nan,13.324,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.0049369999999999995,0.000551,8.96,-0.004168,0.000308,13.55
612197,2000WP19,0.854572261,0.288287052,7.679265528,22.93,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.009426,0.000699,13.49
NaN,2010GD35,0.763960571,0.481620976,7.789721087,24.62,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.011636,0.000872,13.35
NaN,2016GW221,0.82667863,0.268235277,3.694316219,24.77,nan,nan,nan,0.286,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.006987,0.000559,12.5
