ID,Name,a,e,i,H,H_std,D,D_std,dadt,dadt_std,P,P_std,Q,Ref,SNR
101955,Bennu,1.126391026,0.203745108,6.034939534,20.19,0.06,0.492,0.02,-0.001898,1.00E-05,4.2968,NaN,8,B,189.8
480883,2001YE4,0.676875623,0.540421435,4.837990331,20.7,NaN,NaN,NaN,-0.005095,4.50E-05,NaN,NaN,NaN,B,113.2222222
NaN,1998SD9,0.70294171,0.504075119,3.027893847,24,NaN,0.053674081,NaN,-0.019624181,0.000328654,NaN,NaN,NaN,D,59.7107438
NaN,2002BF25,1.073258603,0.221812275,6.275599227,22.2,NaN,0.122960217,NaN,0.007156585,0.000150892,NaN,NaN,NaN,D,47.42857142
2340,Hathor,0.843829246,0.449884166,5.854591233,20.2,NaN,0.3,NaN,-0.001734,6.90E-05,3.35,NaN,8,B,25.13043478
483656,2005ES70,0.762954629,0.386434632,20.83312388,23.8,NaN,NaN,NaN,-0.008011,0.000319,1.69,NaN,5,B,25.11285266
483656,2005ES70,0.762954629,0.386434632,20.83312388,23.8,NaN,NaN,NaN,-0.007985,0.00032,1.69,NaN,5,A,24.953125
2340,Hathor,0.843829246,0.449884166,5.854591233,20.2,NaN,0.3,NaN,-0.001739,7.00E-05,3.35,NaN,8,A,24.84285714
480883,2001YE4,0.676875623,0.540421435,4.837990331,20.7,NaN,NaN,NaN,-0.004847,0.0002,NaN,NaN,NaN,A,24.235
NaN,2002JR100,0.923478751,0.298779209,3.708448667,24.3,NaN,0.046748171,NaN,-0.013828659,0.000640485,NaN,NaN,NaN,D,21.59090908
152563,1992BF,0.907973879,0.27180007,7.25507962,19.8,NaN,0.272,0.077,-0.001196,5.60E-05,32,NaN,2,B,21.35714286
524522,2002VE68,0.723687471,0.410078162,9.034394211,20.5,NaN,NaN,NaN,-0.00349,0.00018,13.5,NaN,8,A,19.38888889
0,2012BB124,1.154887448,0.211025947,15.7893469,21.2,NaN,NaN,NaN,0.002942,0.000167,NaN,NaN,NaN,B,17.61676647
NaN,2002XQ40,1.074853966,0.351165087,2.187351854,22.3,NaN,0.117426095,NaN,-0.004812366,0.000335464,NaN,NaN,NaN,D,14.3454039
85990,1999JV6,1.008213935,0.311095599,5.359217734,20.2,NaN,0.451,0.026,-0.001434,0.000103,6.538,NaN,8,B,13.9223301
NaN,2000WP19,0.854565027,0.288342869,7.679592841,22.7,NaN,0.097670772,NaN,0.009419369,0.000701442,NaN,NaN,NaN,D,13.42857143
1566,Icarus,1.078168924,0.827021352,22.82210584,16.9,NaN,1,NaN,-0.000447,4.00E-05,2.2726,NaN,8,A,11.175
NaN,2006RH120,1.001861501,0.035128561,1.08773103,29.5,NaN,0.004263484,NaN,-2.170661443,0.195402009,0.04583,NaN,NaN,D,11.10869565
152563,1992BF,0.907973879,0.27180007,7.25507962,19.8,NaN,0.272,0.077,-0.001399,0.00013,32,NaN,2,A,10.76153846
437844,1999MN,0.673829807,0.665483876,2.022138981,21.4,NaN,NaN,NaN,0.004135,0.000395,5.495,NaN,8,B,10.46835443
480808,1994XL1,0.670894479,0.526255192,28.16729064,20.9,NaN,NaN,NaN,-0.003237,0.000312,NaN,NaN,NaN,B,10.375
0,2007TF68,1.406377033,0.265251449,26.20129939,22.7,NaN,NaN,NaN,-0.00709,0.00069,NaN,NaN,NaN,B,10.27536232
NaN,2015EG,0.862655395,0.356232897,2.49306774,25.6,NaN,0.025690031,NaN,-0.010630485,0.001052575,1.29,NaN,NaN,D,10.09950249
437844,1999MN,0.673829807,0.665483876,2.022138981,21.4,NaN,NaN,NaN,0.003793,0.00039,5.495,NaN,8,A,9.725641026
1566,Icarus,1.078168924,0.827021352,22.82210584,16.9,NaN,1,NaN,-0.000485,5.00E-05,2.2726,NaN,8,B,9.7
480808,1994XL1,0.670894479,0.526255192,28.16729064,20.9,NaN,NaN,NaN,-0.003177,0.00035,NaN,NaN,NaN,A,9.077142857
4179,Toutatis,2.545398025,0.624248642,0.44794907,15.2,NaN,5.4,NaN,-0.000263,2.90E-05,176,NaN,8,B,9.068965517
138175,2000EE104,1.004212011,0.29314637,5.238250455,20.4,NaN,NaN,NaN,-0.004937,0.000551,NaN,NaN,NaN,B,8.960072595
2062,Aten,0.966789832,0.182717134,18.93368681,17.1,NaN,1.1,NaN,-0.000589,6.80E-05,42.15,NaN,7,B,8.661764706
1862,Apollo,1.470345437,0.55991674,6.35473161,16.25,NaN,1.5,NaN,-0.000189,2.20E-05,3.065,NaN,8,B,8.590909091
NaN,2000EM26,0.817132075,0.466695662,3.844492248,22.5,NaN,0.107093872,NaN,-0.009609427,0.001129108,NaN,NaN,NaN,D,8.510638296
NaN,2008NP3,1.005000389,0.334032466,1.4295139,23.3,NaN,0.074090857,NaN,-0.009392959,0.00112048,NaN,NaN,NaN,D,8.382978722
468468,2004KH17,0.712106568,0.498312189,22.12359882,21.9,NaN,0.197,0.011,-0.00438,0.00053,NaN,NaN,NaN,A,8.264150943
468468,2004KH17,0.712106568,0.498312189,22.12359882,21.9,NaN,0.197,0.011,-0.004411,0.000541,NaN,NaN,NaN,B,8.153419593
162004,1991VE,0.890821004,0.664650283,7.218521189,18.2,NaN,NaN,NaN,0.002173,0.00027,13.4895,NaN,8,B,8.048148148
NaN,1996AE2,1.36739221,0.25670829,37.3664512,20.2,NaN,0.3088621,NaN,0.002153814,0.000274086,NaN,NaN,NaN,D,7.85815603
264357,2000AZ93,0.747012313,0.359863405,8.589148311,21,NaN,0.113,0.029,-0.002737466,0.000351073,NaN,NaN,NaN,D,7.797427652
0,2006TU7,0.850712737,0.470209895,2.920036123,21.9,NaN,NaN,NaN,0.009851,0.001274,NaN,NaN,NaN,B,7.732339089
NaN,2005RZ2,1.106131072,0.103262876,13.16054217,23.3,NaN,0.074090857,NaN,-0.004938291,0.000644835,NaN,NaN,NaN,D,7.658227849
0,2011PU1,1.306089481,0.246915173,4.347536195,25.6,NaN,NaN,NaN,-0.01486,0.001965,NaN,NaN,NaN,B,7.562340967
NaN,1999NW2,1.116218003,0.108721765,8.679763728,23.2,NaN,0.077582652,NaN,-0.003111643,0.000414886,4.2,NaN,NaN,D,7.500000002
NaN,2009WB105,0.825317156,0.252484862,38.4079699,23.5,NaN,0.067571665,NaN,0.006790078,0.000918658,NaN,NaN,NaN,D,7.391304348
NaN,2010GD35,0.764070156,0.481637588,7.785087206,24.6,NaN,0.040715955,NaN,0.011828734,0.001606684,NaN,NaN,NaN,D,7.362204726
NaN,2000AA6,1.286450837,0.519299426,2.034230448,22.1,NaN,0.128755153,NaN,0.007587276,0.00105094,NaN,NaN,NaN,D,7.219512198
66400,1999LT7,0.855250908,0.572553922,9.065620769,19.1,NaN,0.411,0.076,-0.003825,0.00053,NaN,NaN,NaN,A,7.216981132
6489,Golevka,2.502473956,0.605296547,2.27648076,19.2,NaN,0.53,0.03,-0.00051,7.10E-05,6.026,NaN,8,B,7.183098592
0,2011EP51,0.828723202,0.307739159,3.426070466,25.2,NaN,NaN,NaN,-0.018509,0.002639,NaN,NaN,NaN,B,7.013641531
33342,1998WT24,0.718454565,0.417938893,7.342580784,17.9,NaN,0.432,0.028,-0.001691,0.000246,3.697,NaN,8,B,6.87398374
3361,Orpheus,1.209662179,0.322751829,2.685064208,19.03,NaN,0.3,NaN,0.000788,0.000116,3.5327,NaN,8,B,6.793103448
2062,Aten,0.966789832,0.182717134,18.93368681,17.1,NaN,1.1,NaN,-0.000606,9.00E-05,42.15,NaN,7,A,6.733333333
350462,1998KG3,1.160326679,0.118226463,5.505183934,22.1,NaN,NaN,NaN,-0.002668,0.00041,13.335,NaN,7,A,6.507317073
364136,2006CJ,0.676533865,0.754882522,10.23224315,20.2,NaN,NaN,NaN,-0.003499,0.000542,NaN,NaN,NaN,B,6.455719557
3361,Orpheus,1.209662179,0.322751829,2.685064208,19.03,NaN,0.3,NaN,0.000774,0.00012,3.5327,NaN,8,A,6.45
499998,2011PT,1.31235352,0.214719064,2.212869727,23.9,NaN,NaN,NaN,-0.00913,0.001444,0.17,0.05,NaN,B,6.322714681
