"spkid","full_name","pdes","name","prefix","neo","pha","H","G","M1","M2","K1","K2","PC","diameter","extent","albedo","rot_per","GM","BV","UB","IR","spec_B","spec_T","H_sigma","diameter_sigma","orbit_id","epoch","epoch_mjd","epoch_cal","equinox","e","a","q","i","om","w","ma","ad","n","tp","tp_cal","per","per_y","moid","moid_ld","moid_jup","t_jup","sigma_e","sigma_a","sigma_q","sigma_i","sigma_om","sigma_w","sigma_ma","sigma_ad","sigma_n","sigma_tp","sigma_per","class","producer","data_arc","first_obs","last_obs","n_obs_used","n_del_obs_used","n_dop_obs_used","condition_code","rms","two_body","A1","A2","A3","DT"
2001566,"  1566 Icarus (1949 MA)",1566,Icarus,,Y,Y,16.35,,,,,,,1.0,,0.51,2.2726,,0.774,0.520,,,,,,"JPL 126",2459600.5,59600,20220121.0000000,J2000,.8269435773988872,1.078092896249167,.1865708998565535,22.80421609750081,87.96160578064956,31.43750761745641,.3302900481594904,1.969614892641781,.8804806119135474,2459600.124875274151,20220120.6248753,408.8676060880119,1.11941849716088,.0341948,13.307590316,3.21577,5.298,2.7829E-8,2.9039E-9,3.0009E-8,8.8338E-6,3.4733E-6,5.3854E-6,8.0403E-6,5.3053E-9,3.5574E-9,9.1302E-6,1.652E-6,APO,"Otto Matic",26339,1949-07-01,2021-08-11,1078,10,13,0,.34741,,,-3.050593663835279E-15,,
2001620,"  1620 Geographos (1951 RA)",1620,Geographos,,Y,Y,15.34,,,,,,,2.56,5.0x2.0x2.1,0.290,5.22204,,0.862,0.471,,S,S,,0.15,"JPL 659",2459600.5,59600,20220121.0000000,J2000,.3353623816369846,1.245689288364447,.8279319618388654,13.33753650518452,337.1849253008392,276.9463790332624,300.4925457208672,1.663446614890028,.7089073495972811,2459684.442498710076,20220414.9424987,507.8237659752156,1.39034569739963,.0309188,12.032669396,3.45353,5.074,8.4411E-9,7.9029E-10,1.0628E-8,4.3909E-7,2.0098E-6,2.7725E-6,2.5009E-6,1.0553E-9,6.7461E-10,3.5779E-6,4.8326E-7,APO,"Otto Matic",25738,1951-09-14,2022-03-03,4789,3,4,0,.34222,,,-3.125407192334143E-15,,
2001685,"  1685 Toro (1948 OA)",1685,Toro,,Y,N,14.34,,,,,,,3.4,,0.31,10.1995,,0.880,0.470,,S,S,,,"JPL 614",2459600.5,59600,20220121.0000000,J2000,.435966790549019,1.367465568905196,.7712959936433091,9.382739662870495,274.2362441040706,127.2114688956593,300.0617970060148,1.963635144167082,.6163529425209864,2459697.746559331457,20220428.2465593,584.0809302013549,1.59912643450063,.0507936,19.767345312,3.48237,4.715,3.803E-9,6.9595E-10,4.9581E-9,4.3408E-7,1.6511E-6,2.0048E-6,1.391E-6,9.9936E-10,4.7053E-10,2.3211E-6,4.4589E-7,APO,"Otto Matic",26681,1948-07-17,2021-08-04,3641,7,2,0,.32031,,,-3.333019965066383E-15,,
2001862,"  1862 Apollo (1932 HA)",1862,Apollo,,Y,Y,16.11,0.09,,,,,,1.5,,0.25,3.065,,0.819,0.481,,Q,Q,,,"JPL 406",2459600.5,59600,20220121.0000000,J2000,.5600430467684888,1.470502475665496,.6469577889131861,6.353083959607706,35.56898395866096,286.0386654157626,60.20237548613287,2.294047162417806,.5527203235430693,2459491.579859158749,20211004.0798592,651.3239782686369,1.7832278665808,.0259308,10.091489436,3.06904,4.414,1.1587E-8,4.8245E-10,1.7074E-8,2.8783E-6,1.7127E-5,1.7527E-5,2.5296E-6,7.5265E-10,2.7201E-10,4.5296E-6,3.2054E-7,APO,"Otto Matic",33329,1930-12-13,2022-03-14,2282,8,9,0,.46564,,,-3.806949547508727E-15,,
2002062,"  2062 Aten (1976 AA)",2062,Aten,,Y,N,17.1,,,,,,,1.1,,0.26,42.15,,0.930,0.460,,Sr,S,,,"JPL 149",2459600.5,59600,20220121.0000000,J2000,.1827720931291991,.9669087478156669,.7901848121124645,18.9345273941421,108.5428491298942,148.0586126391113,21.46549438015371,1.143632683518869,1.036634932987982,2459579.793101460239,20211231.2931015,347.2775116330888,0.95079400857793,.113334,44.10619278,3.92473,6.183,1.4182E-9,8.825E-10,1.2391E-9,7.1108E-7,1.4141E-6,1.6911E-6,3.786E-6,1.0438E-9,1.4192E-9,3.6246E-6,4.7544E-7,ATE,Giorgini,23339,1955-12-17,2019-11-10,1024,5,2,0,.34905,,,-1.060848761330574E-14,,
2002100,"  2100 Ra-Shalom (1978 RA)",2100,Ra-Shalom,,Y,N,16.23,0.12,,,,,,2.3,,0.13,19.797,,0.712,0.310,,Xc,C,,0.2,"JPL 278",2459600.5,59600,20220121.0000000,J2000,.4366225897512973,.8320365409512531,.4687505916734057,15.75469882254304,170.7911208041433,356.0722497702863,230.936934682,1.1953224902291,1.298645078936776,2459699.882862501328,20220430.3828625,277.212000290902,0.75896509319891,.15045,58.5506265,3.77433,6.946,1.343E-8,7.4062E-10,1.1149E-8,4.4465E-7,3.2099E-6,2.4481E-6,3.648E-6,1.064E-9,1.734E-9,2.9277E-6,3.7013E-7,ATE,"Otto Matic",16862,1975-10-03,2021-12-02,2022,8,2,0,.36003,,,-3.413131296194982E-15,,
2002101,"  2101 Adonis (1936 CA)",2101,Adonis,,Y,Y,18.64,,,,,,,0.6,,,,,,,,,,,,"JPL 45",2459600.5,59600,20220121.0000000,J2000,.7641879382987461,1.873943848078716,.4418985623278233,1.32189202413033,349.4908620618594,43.6048658117942,206.631568556073,3.305989133829608,.3842104863112625,2459999.678150800595,20230224.1781508,936.9863989301721,2.56532894984304,.0115678,4.501840726,2.14722,3.551,5.9504E-8,9.0605E-9,1.1169E-7,9.8883E-6,.00045023,.00045046,8.9196E-6,1.5984E-8,2.7865E-9,2.4268E-5,6.7955E-6,APO,"Otto Matic",30790,1936-02-21,2020-06-09,119,0,5,0,.39092,,,-3.266035344665914E-14,,
2002340,"  2340 Hathor (1976 UA)",2340,Hathor,,Y,Y,20.33,,,,,,,0.3,,,3.35,,0.770,0.500,,Sq,CSU,,,"JPL 61",2459600.5,59600,20220121.0000000,J2000,.449850930122026,.8437172906245873,.4641702826770809,5.859655894544813,211.3146607793337,40.0767799082648,221.7896008877113,1.223264298572094,1.271770215911128,2459709.175606161504,20220509.6756062,283.0700039174034,0.77500343303875,.0068831,2.678696027,3.8133,6.883,4.0277E-8,2.328E-9,3.4651E-8,5.061E-6,1.5007E-5,1.5994E-5,1.072E-5,3.3753E-9,5.2637E-9,8.8459E-6,1.1716E-6,ATE,Giorgini,15431,1976-10-25,2019-01-24,454,4,3,0,.36814,,,-3.068053568809521E-14,,
2003200,"  3200 Phaethon (1983 TB)",3200,Phaethon,,Y,Y,14.40,,,,,,,6.25,,0.1066,3.604,,,,,B,F,,0.15,"JPL 777",2459600.5,59600,20220121.0000000,J2000,.8897708201716021,1.27140157358847,.1401455526891915,22.25528305083107,265.2230881277192,322.1747308433291,281.5012575683777,2.402657594487749,.6875114841298315,2459714.678081739211,20220515.1780817,523.6276168617667,1.43361428298909,.0194639,7.574765963,2.73356,4.510,9.0529E-10,1.0148E-9,1.0829E-9,2.931E-7,8.1467E-7,7.5513E-7,9.214E-7,1.9178E-9,8.2316E-10,1.475E-6,6.2694E-7,APO,"Davide Farnocchia",13875,1983-10-27,2021-10-22,5090,8,0,0,.3009,,,-5.559790662341866E-15,,
2003361,"  3361 Orpheus (1982 HR)",3361,Orpheus,,Y,Y,19.39,,,,,,,0.3,,0.357,3.5327,,1.022,0.503,,,,,,"JPL 179",2459600.5,59600,20220121.0000000,J2000,.3231489848284043,1.210595967628813,.8193931096522026,2.661233529590842,188.6885143702806,302.3634067691015,4.380042582961717,1.601798825605424,.739954881221099,2459594.580662626708,20220115.0806626,486.5161500197358,1.33200862428401,.0140787,5.479007679,3.44753,5.210,3.6547E-8,1.7439E-9,4.4323E-8,2.2777E-6,3.6047E-5,3.5976E-5,1.2829E-6,2.3075E-9,1.5989E-9,1.7343E-6,1.0513E-6,APO,Giorgini,14537,1982-04-24,2022-02-10,1147,2,0,0,.33934,,,1.884341958392691E-14,,
